,0,1,2,3,4,5,6,7
189,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
190,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
191,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
192,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
193,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
194,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
195,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
196,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
197,6.56,-0.03,2.97,6.78,6.55,3.7,7.26,5.87
198,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
199,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
200,0.66,-0.03,3.72,-0.13,-0.3,1.73,-1.06,1.05
201,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
202,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
203,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
204,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
205,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
206,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
207,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
208,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
209,0.61,-0.03,3.7,-0.13,-0.32,1.68,-1.06,0.99
210,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
211,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
212,2.49,-0.03,0.38,0.64,3.15,0.2,2.39,2.25
213,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
214,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
215,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
216,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
217,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
